fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-11-01,UA,UA_CODESHARE,UA,4018,EV,N905EV,4018,13930,ORD,"Chicago, IL",14696,SBN,"South Bend, IN",921,1153.0,152.0,25.0,1218.0,1336.0,4.0,1118,1340.0,142.0,0.0,,0.0,N,57.0,47.0,18.0,1.0,84.0,142.0,0.0,0.0,0.0,0.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4019,EV,N11165,4019,12992,LIT,"Little Rock, AR",13930,ORD,"Chicago, IL",615,600.0,-15.0,14.0,614.0,728.0,12.0,815,740.0,-35.0,0.0,,0.0,N,120.0,100.0,74.0,1.0,552.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4020,EV,N16541,4020,12266,IAH,"Houston, TX",12896,LBB,"Lubbock, TX",1825,1822.0,-3.0,15.0,1837.0,1951.0,5.0,2003,1956.0,-7.0,0.0,,0.0,N,98.0,94.0,74.0,1.0,458.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4021,EV,N14158,4021,12448,JAN,"Jackson/Vicksburg, MS",13930,ORD,"Chicago, IL",600,622.0,22.0,13.0,635.0,806.0,10.0,813,816.0,3.0,0.0,,0.0,N,133.0,114.0,91.0,1.0,677.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4022,EV,N24103,4022,13244,MEM,"Memphis, TN",12266,IAH,"Houston, TX",1455,1449.0,-6.0,15.0,1504.0,1632.0,20.0,1649,1652.0,3.0,0.0,,0.0,N,114.0,123.0,88.0,1.0,468.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4023,EV,N15572,4023,12266,IAH,"Houston, TX",10279,AMA,"Amarillo, TX",1825,1823.0,-2.0,19.0,1842.0,2000.0,5.0,2015,2005.0,-10.0,0.0,,0.0,N,110.0,102.0,78.0,1.0,517.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4023,EV,N15983,4023,13422,MOB,"Mobile, AL",12266,IAH,"Houston, TX",1400,1359.0,-1.0,11.0,1410.0,1530.0,7.0,1540,1537.0,-3.0,0.0,,0.0,N,100.0,98.0,80.0,1.0,427.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4024,EV,N14105,4024,14524,RIC,"Richmond, VA",13930,ORD,"Chicago, IL",1330,1339.0,9.0,16.0,1355.0,1455.0,9.0,1447,1504.0,17.0,0.0,,0.0,N,137.0,145.0,120.0,1.0,642.0,0.0,0.0,8.0,0.0,9.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4026,EV,N14188,4026,12266,IAH,"Houston, TX",10185,AEX,"Alexandria, LA",1013,1155.0,102.0,17.0,1212.0,1248.0,5.0,1117,1253.0,96.0,0.0,,0.0,N,64.0,58.0,36.0,1.0,190.0,0.0,0.0,96.0,0.0,0.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4027,EV,N16987,4027,15370,TUL,"Tulsa, OK",12266,IAH,"Houston, TX",1400,1441.0,41.0,21.0,1502.0,1614.0,7.0,1540,1621.0,41.0,0.0,,0.0,N,100.0,100.0,72.0,1.0,429.0,0.0,0.0,0.0,0.0,41.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4028,EV,N14570,4028,12266,IAH,"Houston, TX",10781,BTR,"Baton Rouge, LA",750,745.0,-5.0,30.0,815.0,902.0,5.0,900,907.0,7.0,0.0,,0.0,N,70.0,82.0,47.0,1.0,253.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4029,EV,N11551,4029,13930,ORD,"Chicago, IL",12448,JAN,"Jackson/Vicksburg, MS",1944,2008.0,24.0,13.0,2021.0,2213.0,4.0,2155,2217.0,22.0,0.0,,0.0,N,131.0,129.0,112.0,1.0,677.0,0.0,0.0,0.0,0.0,22.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4030,EV,N16981,4030,12266,IAH,"Houston, TX",12951,LFT,"Lafayette, LA",748,802.0,14.0,28.0,830.0,908.0,6.0,852,914.0,22.0,0.0,,0.0,N,64.0,72.0,38.0,1.0,201.0,14.0,0.0,8.0,0.0,0.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4031,EV,N14105,4031,14730,SDF,"Louisville, KY",11618,EWR,"Newark, NJ",1855,1928.0,33.0,18.0,1946.0,2156.0,12.0,2103,2208.0,65.0,0.0,,0.0,N,128.0,160.0,130.0,1.0,642.0,5.0,0.0,60.0,0.0,0.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4034,EV,N14573,4034,11618,EWR,"Newark, NJ",11986,GRR,"Grand Rapids, MI",1150,1142.0,-8.0,21.0,1203.0,1344.0,6.0,1404,1350.0,-14.0,0.0,,0.0,N,134.0,128.0,101.0,1.0,605.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4036,EV,N11539,4036,12951,LFT,"Lafayette, LA",12266,IAH,"Houston, TX",1210,1226.0,16.0,11.0,1237.0,1321.0,6.0,1330,1327.0,-3.0,0.0,,0.0,N,80.0,61.0,44.0,1.0,201.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4037,EV,N11192,4037,10693,BNA,"Nashville, TN",11618,EWR,"Newark, NJ",820,812.0,-8.0,26.0,838.0,1118.0,10.0,1137,1128.0,-9.0,0.0,,0.0,N,137.0,136.0,100.0,1.0,748.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4038,EV,N11548,4038,13930,ORD,"Chicago, IL",11977,GRB,"Green Bay, WI",1010,1001.0,-9.0,37.0,1038.0,1111.0,6.0,1113,1117.0,4.0,0.0,,0.0,N,63.0,76.0,33.0,1.0,174.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4039,EV,N14991,4039,13930,ORD,"Chicago, IL",11977,GRB,"Green Bay, WI",2125,2120.0,-5.0,31.0,2151.0,2223.0,4.0,2226,2227.0,1.0,0.0,,0.0,N,61.0,67.0,32.0,1.0,174.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4040,EV,N884AS,4040,15412,TYS,"Knoxville, TN",13930,ORD,"Chicago, IL",748,738.0,-10.0,31.0,809.0,827.0,14.0,846,841.0,-5.0,0.0,,0.0,N,118.0,123.0,78.0,1.0,475.0,,,,,,,,,
2018-11-01,UA,UA_CODESHARE,UA,4041,EV,N12900,4041,12339,IND,"Indianapolis, IN",12266,IAH,"Houston, TX",1715,1719.0,4.0,13.0,1732.0,1907.0,6.0,1855,1913.0,18.0,0.0,,0.0,N,160.0,174.0,155.0,1.0,844.0,0.0,0.0,14.0,0.0,4.0,,,,
2018-11-01,UA,UA_CODESHARE,UA,4042,EV,N27200,4042,11637,FAR,"Fargo, ND",13930,ORD,"Chicago, IL",1825,1813.0,-12.0,9.0,1822.0,1945.0,22.0,2025,2007.0,-18.0,0.0,,0.0,N,120.0,114.0,83.0,1.0,557.0,,,,,,,,,
