,origin_ratio,dest_ratio
10135,21867.021276595744,14300.265957446809
10136,6959.308510638298,6669.946808510638
10140,54371.8085106383,71185.63829787234
10141,2938.8297872340427,1335.372340425532
10146,5498.13829787234,4342.81914893617
10154,15873.13829787234,6135.106382978724
10155,2757.18085106383,3071.0106382978724
10157,14870.744680851063,9730.053191489362
10158,1405.3191489361702,10989.893617021276
10165,281.1170212765957,-421.01063829787233
10170,-538.563829787234,-225.0
10185,8132.712765957447,6825.797872340426
10208,19228.457446808512,17363.297872340427
10245,-18.351063829787233,-71.27659574468085
10257,39503.1914893617,75782.71276595745
10268,3077.127659574468,2640.159574468085
10275,2534.840425531915,2005.0531914893618
10279,16376.063829787234,28192.81914893617
10299,-31363.563829787236,-17877.127659574468
10333,3164.095744680851,601.5957446808511
10361,257.71276595744683,2396.0106382978724
10372,53228.1914893617,47350.0
10397,576193.8829787234,413880.58510638296
10408,23251.86170212766,22652.393617021276
10409,1799.468085106383,316.48936170212767
10423,165613.82978723405,135921.27659574468
10431,36990.95744680851,42054.255319148935
10434,13327.925531914894,16970.478723404256
10466,15923.13829787234,35267.81914893617
10469,6996.808510638298,11193.08510638298
10529,37426.063829787236,97247.60638297872
10551,-734.0425531914893,-1624.468085106383
10558,1142.0212765957447,1503.9893617021276
10561,1082.4468085106382,8955.851063829787
10562,434.8404255319149,294.1489361702128
10577,4021.0106382978724,2438.2978723404253
10581,21917.81914893617,19444.94680851064
10590,82.97872340425532,-58.776595744680854
10599,66410.10638297872,80493.6170212766
10620,4711.436170212766,7726.063829787234
10627,17035.63829787234,16644.14893617021
10631,623.1382978723404,-247.0744680851064
10643,800.2659574468086,912.2340425531914
10666,2811.1702127659573,1541.4893617021276
10676,10356.382978723404,4377.659574468085
10685,11049.202127659575,13503.191489361701
10693,219298.67021276595,169834.04255319148
10713,18437.76595744681,27100.797872340427
10721,538365.4255319149,740914.3617021276
10728,2749.468085106383,2013.8297872340424
10731,442.02127659574467,2277.127659574468
10732,9097.606382978724,15946.808510638299
10739,183.51063829787233,1959.0425531914893
10747,5461.170212765957,7636.968085106383
10754,-2780.851063829787,-3297.6063829787236
10779,-1103.723404255319,-2595.478723404255
10781,27498.936170212764,25588.031914893618
10785,58694.94680851064,51196.8085106383
10792,83756.3829787234,104550.79787234042
10800,61481.64893617021,62876.86170212766
10821,221954.52127659574,130999.73404255319
10849,21695.744680851065,10663.563829787234
10868,24158.510638297874,40654.52127659575
10874,41387.5,59979.52127659575
10918,-127.3936170212766,860.6382978723404
10926,-888.031914893617,673.1382978723404
10967,4163.829787234043,2124.468085106383
10980,31864.09574468085,36665.425531914894
10990,35537.5,33539.89361702128
10994,62171.8085106383,61230.585106382976
11003,39243.35106382979,29101.063829787236
11013,3024.2021276595747,684.8404255319149
11027,7117.287234042553,7255.31914893617
11042,119699.73404255319,160002.12765957447
11049,3689.095744680851,8011.702127659574
11057,921481.1170212766,400858.77659574465
11066,120777.39361702128,124634.3085106383
11067,10470.744680851063,14270.478723404256
11076,7556.117021276596,7236.968085106383
11092,2311.1702127659573,1594.4148936170213
11097,7105.585106382979,9087.234042553191
11109,58623.40425531915,60740.95744680851
11111,20181.117021276597,19881.382978723403
11122,4901.595744680851,11906.117021276596
11140,9555.053191489362,20042.287234042553
11146,28501.59574468085,22201.59574468085
11150,4180.585106382979,3600.2659574468084
11193,174048.67021276595,165523.40425531915
11203,8135.372340425532,8822.606382978724
11233,2110.904255319149,133.77659574468086
11252,4764.095744680851,7509.308510638298
11259,237514.89361702127,140824.20212765958
11267,61564.62765957447,82298.40425531915
11274,3085.6382978723404,4392.553191489362
11278,463140.9574468085,403058.24468085106
11292,1131146.5425531915,782584.0425531915
11298,1484740.1595744682,1115829.255319149
11308,4988.297872340426,4395.744680851064
11315,5394.414893617021,7180.053191489362
11336,-77.92553191489361,-171.80851063829786
11337,16603.989361702126,14214.36170212766
11413,16372.872340425532,26011.17021276596
11415,169.41489361702128,134.30851063829786
11423,49375.79787234042,56238.563829787236
11433,265871.27659574465,231628.1914893617
11445,2900.7978723404253,9354.255319148937
11447,3920.478723404255,2178.4574468085107
11468,-175.79787234042553,1450.0
11470,5561.968085106383,2595.2127659574467
11471,4464.627659574468,4157.446808510638
11481,11116.755319148937,26681.91489361702
11503,23478.191489361703,17207.978723404256
11525,-1084.5744680851064,-1457.712765957447
11537,3228.9893617021276,8735.106382978724
11540,46309.574468085106,69336.43617021276
11577,6449.468085106383,8112.765957446809
11587,3392.553191489362,1474.468085106383
11603,23958.77659574468,16239.36170212766
11612,17018.882978723403,19065.425531914894
11617,3569.68085106383,10271.808510638299
11618,1044273.4042553192,1550156.914893617
11624,12439.627659574468,1128.723404255319
11630,-15159.840425531915,-4241.755319148936
11637,37213.563829787236,23813.563829787236
11638,39958.51063829787,25369.94680851064
11641,14359.574468085106,14918.617021276596
11648,4416.489361702128,4263.031914893617
11695,964.8936170212766,3981.3829787234044
11697,406092.55319148937,358575.0
11699,1878.4574468085107,3935.904255319149
11721,13702.393617021276,12718.617021276596
11775,45678.45744680851,38050.265957446805
11778,7557.712765957447,8368.617021276596
11823,27790.159574468085,32899.734042553195
11865,3177.659574468085,2443.6170212765956
11867,1599.2021276595744,848.4042553191489
11884,18426.32978723404,37813.82978723404
11898,1214.095744680851,673.936170212766
11905,788.2978723404256,1206.6489361702127
11921,3896.5425531914893,6568.617021276596
11953,18427.659574468085,13216.22340425532
11973,12344.41489361702,18125.26595744681
11977,16795.212765957447,19883.510638297874
11980,5885.63829787234,2736.968085106383
11982,9375.531914893618,8613.297872340425
11986,77866.22340425532,78794.14893617021
11995,54117.81914893617,72209.0425531915
11996,56869.94680851064,60252.39361702128
11997,-144.9468085106383,-211.43617021276594
12003,6775.0,5695.212765957447
12007,1776.595744680851,2119.4148936170213
12012,5170.744680851064,6573.936170212766
12016,-371.5425531914894,20.47872340425532
12094,10175.797872340425,13508.244680851063
12119,1877.9255319148936,786.436170212766
12124,7847.340425531915,9733.77659574468
12129,-975.2659574468086,-2733.244680851064
12156,3015.691489361702,1872.872340425532
12173,14280.053191489362,16387.76595744681
12177,2265.9574468085107,1938.2978723404256
12191,169241.48936170212,106777.9255319149
12197,71324.46808510639,73059.3085106383
12206,10553.72340425532,8110.372340425532
12217,27968.882978723403,34149.734042553195
12223,6143.882978723404,4180.31914893617
12244,2176.063829787234,3234.0425531914893
12250,1181.9148936170213,526.063829787234
12255,8091.755319148936,8262.765957446809
12264,342168.8829787234,323542.55319148937
12265,3141.223404255319,-157.7127659574468
12266,589313.0319148937,538829.2553191489
12278,36025.79787234042,38175.0
12280,6109.04255319149,7442.81914893617
12323,19175.797872340427,22672.340425531915
12335,1793.8829787234042,-998.936170212766
12339,142711.96808510637,141370.74468085106
12343,-1115.159574468085,-1353.4574468085107
12365,1461.1702127659576,61.96808510638298
12389,6888.297872340426,3432.446808510638
12391,17776.59574468085,31157.712765957447
12397,10741.755319148937,9605.31914893617
12402,-4164.095744680851,-3842.81914893617
12441,24773.40425531915,21705.31914893617
12448,31849.468085106382,29362.76595744681
12451,99068.6170212766,104739.62765957447
12478,184085.37234042553,460457.97872340423
12492,-1495.212765957447,-2828.191489361702
12511,6414.095744680851,4739.893617021276
12519,6313.563829787234,4633.776595744681
12523,-5073.936170212766,-6897.340425531915
12544,9845.212765957447,5224.734042553191
12758,-21240.957446808512,-21147.872340425532
12819,-1492.287234042553,-2075.531914893617
12884,17442.287234042553,16594.41489361702
12888,3717.2872340425533,4362.5
12889,384891.4893617021,347004.78723404254
12891,4028.9893617021276,4859.840425531915
12892,265766.22340425535,383126.59574468085
12896,21369.14893617021,31167.55319148936
12898,-959.5744680851063,4151.86170212766
12899,154.25531914893617,1611.968085106383
12902,2511.1702127659573,1138.031914893617
12915,2340.159574468085,4974.468085106383
12917,9236.170212765957,5010.904255319149
12945,35402.39361702128,39202.925531914894
12951,17527.925531914894,13934.308510638299
12953,565023.1382978724,968278.4574468085
12954,18004.255319148935,38701.32978723404
12982,1173.6702127659576,-14694.946808510638
12992,40113.82978723404,40777.65957446808
13029,18235.63829787234,11772.606382978724
13034,10352.393617021276,8484.308510638299
13061,8244.68085106383,6768.085106382979
13076,6455.585106382979,5167.553191489362
13121,5769.414893617021,4364.627659574468
13127,-3753.191489361702,-3592.81914893617
13139,251.86170212765958,6374.202127659574
13158,26430.85106382979,35125.53191489362
13184,6622.872340425532,11331.382978723404
13198,62561.17021276596,97971.01063829787
13204,596319.1489361703,465330.3191489362
13230,32891.48936170213,30498.13829787234
13232,289385.37234042556,119202.12765957447
